"image_1_text","image_2_text","database","image","number"
"in the picture the heartin is large","in the picture the heartin is small","ma","88767165","3"
"a plate of love themed candy decorations","a tiny red heart shaped candy decoration","ma","88767165","4"
"valentines day fondant shapes including a medium heart on the bottom right","valentines day fondant shapes including a small heart on the bottom right.","ma","88767165","5"
"cookie cutouts with hearts on the bottom.  large, small, and medium size.","cookie cutouts with hearts on the bottom.  large, small, and mini size.","ma","88767165","6"
"a sowing desk that is very organized the yellow box has an additional sticker on it.","a sowing desk that is very organized the yellow box has no sticker on it.","ma","89354846","1"
"there is a handle here in the yellow box","there's no handle here","ma","89354846","2"
"a craft room with three red storage bins one has 2 handles on the front","a craft room with three red storage bins all identical with one handle each","ma","89354846","3"
"a table with craft and sewing stuff with organizers","a table with arts and crafts things and organizers","ma","89354846","4"
"a desk with photo boxes that have plastic view labels. on of the boxes has two labels","a desk with photo boxes, some with one view window","ma","89354846","5"
"a craft room with the three red baskets all with one rectangular hole except one that has two holes.","a craft room with three red baskets all with one rectangular hole. ","ma","89354846","6"
"green bean bags the postal stamp in the yellow box is opposite than the other picture.","green bean bags the postal stamp in the yellow box is facing up in this picture.","ma","8974554","1"
"stamp upside down on mail","stamp right side up on mail","ma","8974554","2"
"an upside down stamp is on the corner of an envelope","a stamp is on the corner of an envelope","ma","8974554","3"
"a set of green fabric pillows with gift tags and a stack of orange envelopes with an upside down gnome stamp on the top one","a set of green fabric pillows with gift tags and a stack of orange envelopes with a gnome stamp on the top one","ma","8974554","4"
"an envelope with a stamp of an upside down gnome sits with some crafting materials","an envelope with a stamp of a right side up gnome sits with some crafting materials","ma","8974554","5"
"an array of green beanbags with fabric patterned circles on top and a few gold envelopes with a stamp that has red and yellow within a green circle near the top of the stamp. the yellow is on the top ","an array of green beanbags with fabric patterned circles on top and a few gold envelopes with a stamp that has red on top and yellow on the bottom within a green circle near the top of the stamp","ma","8974554","6"
"an envelope with an upside down stamp","an envelope with a right side up stamp","ma","8974554","7"
"in the yellow sheet corner side, logo is pasted in reverse side","in the yellow sheet corner ide, logo is pasted in correct side","ma","8974554","8"
"an assortment of small pillowlike green items","an assortment of small pillowlike green items and a manilla envelope with a stamp in the corner","ma","8974554","9"
"six fabric quilt stars with the blue one has no center button","six fabric quilt stars with the blue one having a hear shaped center button","ma","90405028","1"
"a set of 6 cloths in the shape of whirls and with buttons in the middle","a set of 6 cloths in the shape of swirls all with a button in the middle except one","ma","90405028","2"
"pimwheels made of cloth and buttons with one missing a button","pinwheels made of cloth and buttons with one having a heart button","ma","90405028","3"
"a set of material spinners on a wooden table with one blue one with a grey center","a set of material spinners on a wooden table with one blue one with a red heart on the center","ma","90405028","4"
"six neatly placed handmade fabric ornaments with one that has no button in the middle of it","six neatly placed handmade fabric ornaments with one that has a heart shaped button in the middle of it","ma","90405028","5"
"second star is present with no button","second star is present  with pink button","ma","90405028","6"
"pinwheels stuck onto two pieces of wood","decorative pinwheels stuck onto two wooden boards and one has a pink heart in the center","ma","90405028","7"
"six pinwheeled pieces of cloth, all but one including a button in the center, laying on a wooden board","six pinwheeled pieces of cloth, all including buttons in the center, laying on a wooden board","ma","90405028","8"
"a two story red brick building with white trim. there are six windows on the second floor and three windows on the first floord","a two story red brick building with white trim there are six windows on the second floor and three windows on the first floor.","ma","95091295","1"
"a exterior of the buildin with all windows open on top floor","an exterior of the building with one window partially closed.","ma","95091295","2"
"a red two story building with a widow that is dark on top and light on the bottom.","a red two story building with a window that is light on top, dark in the middle and light on the bottom.","ma","95091295","3"
"a building with red bricks, white windows, and a white doorframe sits in front of a white sky","a building with red brick, white windows, and a white doorframe sits in front of a white sky. one of the windows is different from the rest and is divided into 3 colors instead of 2.","ma","95091295","4"
"a red brick building with a wooden door and white trim. bars are on the lower windows","a red brick building with a wooden door and white trim. bars are on the lower windows and one upper window looks open","ma","95091295","5"
"a brick building that houses total a-v systems inc. the second of 6 windows on the second story has a screen in the top half of the window","a brick building that houses a total a-v systems inc. the second of 6 windows on the second story has a screen in the middle of the window","ma","95091295","6"
"a red brick house with six symertical windows on the top floor with the second window from left having a visivible window treatment on the top and bottom  halves","a red brick house with six symertical windos on the top floor with the second window having a window treatment visiable on the top and bottom quarters","ma","95091295","7"
"a building with a window that has its screen at the top","a building with a window with its screen in the middle","ma","95091295","8"
"a building with windows that are all half shaded on the top. ","a building with windows that are all half shaded with one window shaded in the middle ","ma","95091295","9"
"second  window is closed in the building","second window  is  partially opened","ma","95091295","10"
"a building with six windows where the second window is closed along with others.","a building with six windows where the second window is half opened unlike others.","ma","95091295","11"
"a business card on a table next to some colored pencils.","a business card laid out in front of otgers on a table with pencils.","ma","97475929","1"
"a desk containing colored pencils and business cards with the description of the card in the bottom of the main card","a desk containing colored pencils and business cards with the description of the card underneath the name on the card","ma","97475929","2"
"a collection of pencils and notecards. one notecard has a blank space below the name and a description above the phone number and email.","a collection of pencils and notecards. one notecard has a blank space above the phone number and email and a description below the name.","ma","97475929","3"
"a set of colored pencils and business cards. the tag line for the business card is right above the phone number","a set of colored pencils and business cards the tag line for the business card is right under the name.","ma","97475929","4"
"a table ","a table with colored pencils and businesscard  ","ma","97475929","5"
"a business card with the information placed lower on the card on a table with more cards and colored pencils. ","a business card with the information placed higher on the card with more cards and colored pencils. ","ma","97475929","6"
"an assortment of business cards on a wooden surface along with a number of colored pencils which are used to fill in circles on the cards which are located above a short phrase","an assortment of business cards on a wooden surface along with a number of colored pencils which are used to fill in circles on the cards which are located next to a short phrase","ma","97475929","7"
"a desk and chair with two monitors and several files and pennd a keyboard, mouse and table a handle of a vaccum is next to the right of the desk","a desk and chair with two monitors and several files, pens, keyboard, mouse with a vaccum cleaner handle near the right of the desk.","ma","98156944","1"
"a large letter opener next to a desk.","a small letter opener next to a desk.","ma","98156944","2"
"an organized desk with a decoration standing next to it.","an organized desk with a decoration hanging next to it.","ma","98156944","3"
"a desk with folders and monitors. the silver item in the box is almost as tall as the image","a desk with folders and monitors. the silver item in the box is much smaller than in the other image.","ma","98156944","4"
"an office setup with an umbrella towering out from behind the desk.","an office setup with an umbrella just peeking out from behind the desk.","ma","98156944","5"
"a sward hanging up ","a sword hanging below the table","ma","98156944","6"
"an office desk with a variety of office suplies and a computer on top and a tall umbrella reaching high above the desk","an office desk with a variety of office supplies and a computer on top and a short umbrella barely reaching the top of the desk.","ma","98156944","7"
"a desk with dual monitors. a tall umbrella stands to the left of the desk","a desk with dual monitors. a short umbrella stands to the left of the desk","ma","98156944","8"
"an office with a desk and two monitors and various office supplies with a sword half pulled out of a scabbard taking up a large portion of the wall","an office with a desk and two monitors and various office supplies with a sword slightly pulled out of the scabbard in the left corner","ma","98156944","9"
"at the corner of the side, long stick is available","at the corner of the side, short stick is available","ma","98156944","10"
"a checkered cloth table with small books and pamphlets, including a black book with a white sillouette of a man on the right side of the cover","a checkered cloth table with small books and pamphlets, including a blackbook with a white sillouette of a man on the right side of the cover","ma","98265889","1"
"an informational table at a trade event with a black book with white figure on the right","an informational table at a trade event with a black book with white figure on the left","ma","98265889","2"
"a table full of booklets and cards, one with a man appearing on the right side of the booklet.","a table full of booklets and cards, one with man appearing on the left side of the booklet.","ma","98265889","3"
"a set of pamphlets on a red striped table with a particular stack of black ones containing a red humanoid on the right side of the sheet.","a set of pamphlets on a red striped table with a particular stack of black ones containing a red humanoid on the right side of the sheet.","ma","98265889","4"
"a table with phamplets and business cards and passports","a table with business cards and pamphlets with passports","ma","98265889","5"
"a table holds an assortment of pamphlets. one is black with a figure on the right.","a table holds an assortment of pamphlets. one is black with a figure on the left.","ma","98265889","6"
"a table full of cards with a stack of black and white cards with a person depicted on the right side. ","a table full of cards with a stack of black and white cards with a person depicted on the left side. ","ma","98265889","7"
"different sets of book with a black book containing a lady's pic on its right corner.","different sets of book with a black book containing a lady's pic on its left corner.","ma","98265889","8"
